证券代码,前收,今收
000001,10.28,10.35
000002,25.40,25.31
000004,16.29,16.29
000005,3.03,2.99
000006,5.28,5.25
000007,6.80,6.67
000008,3.89,3.88
000009,4.29,4.29
000010,3.37,3.34
000011,9.54,9.59
000012,4.12,4.12
000014,9.44,10.03
000016,3.44,3.44
000017,4.59,4.65
000018,2.45,2.43
000019,7.13,7.14
000020,10.54,10.67
000021,6.08,6.06
000023,11.67,11.73
000025,26.75,26.75
000026,7.82,7.89
000027,5.20,5.23
000028,39.37,39.36
000029,11.17,11.17
000030,3.96,4.02
000031,5.05,4.98
000032,7.58,7.58
000034,11.84,11.47
000035,5.08,5.10
000036,5.63,5.65
000037,5.07,5.08
000038,12.55,12.54
000039,11.28,11.32
000040,7.16,6.99
000042,11.26,11.39
000043,7.74,7.74
000045,6.04,6.08
000046,4.93,4.94
000048,17.47,17.28
000049,28.53,28.52
000050,9.70,9.70
000055,6.38,6.65
000056,4.82,4.75
000058,6.70,6.69
000059,5.81,5.77
000060,4.13,4.13
000061,4.91,4.95
000062,17.11,17.07
000063,20.44,20.45
000065,7.76,7.82
000066,5.27,5.27
000068,4.55,4.65
000069,6.12,6.13
000070,10.82,10.54
000078,3.13,3.14
000088,5.14,5.09
000089,7.92,7.90
000090,5.00,4.99
000096,9.12,9.36
000099,5.99,6.04
000100,2.71,2.72
000150,13.95,13.93
000151,10.66,10.70
000153,5.55,5.53
000155,3.66,3.67
000156,8.55,8.51
000157,3.70,3.68
000158,5.17,5.12
000159,4.11,4.25
000166,4.34,4.32
000301,5.18,5.14
000333,41.30,41.46
000338,8.20,8.33
000400,10.58,10.49
000401,12.46,12.40
000402,6.75,6.77
000403,26.40,26.30
000404,4.25,4.12
000407,3.94,3.92
000408,11.07,11.15
000409,4.93,4.68
000410,7.77,7.78
000411,12.17,11.81
000413,4.68,4.58
000415,3.85,3.74
000416,4.16,4.15
000417,4.51,4.50
000418,48.29,48.44
000419,4.39,4.33
000420,2.06,2.02
000421,4.66,4.71
000422,3.32,3.48
000423,40.35,40.21
000425,3.28,3.27
000426,6.12,6.04
000428,2.67,2.65
000429,8.27,8.45
000430,5.24,5.24
000488,5.86,5.86
000498,5.41,5.43
000501,9.97,10.05
000502,7.34,7.29
000503,15.20,15.23
000504,12.55,12.44
000505,5.74,5.84
000506,3.14,3.06
000507,6.66,6.66
000509,2.87,2.82
000510,4.25,4.31
000513,26.87,26.91
000514,3.90,3.83
000516,5.05,5.00
000517,2.45,2.41
000518,3.07,3.06
000519,6.74,6.73
000520,3.08,3.10
000521,3.18,3.18
000523,4.04,4.03
000524,7.02,6.94
000525,13.78,13.69
000526,19.65,19.38
000528,6.13,6.15
000529,4.77,4.69
000530,3.49,3.52
000531,5.19,5.26
000532,10.10,10.62
000533,3.12,3.11
000534,9.86,9.94
000536,2.12,2.09
000537,7.21,7.20
000538,77.34,78.79
000539,4.19,4.22
000540,3.66,3.64
000541,5.31,5.30
000543,4.86,4.94
000544,5.19,5.10
000545,3.65,3.62
000546,8.75,8.74
000547,8.86,8.79
000548,4.65,4.59
000550,14.39,15.00
000551,5.98,6.02
000552,2.68,2.70
000553,10.10,10.22
000554,5.40,5.44
000555,10.57,10.70
000557,3.68,3.70
000558,3.00,3.09
000559,5.50,5.47
000560,4.58,4.70
000561,6.25,6.19
000563,2.83,2.83
